word,person,number
I,1,singular
we,1,plural
you,2,singular
you,2,plural
he,3,singular
she,3,singular
it,3,singular
they,3,plural
me,1,singular
us,1,plural
her,3,singular
him,3,singular
it,3,singular
them,3,plural
mine,1,singular
ours,1,plural
yours,2,singular
yours,2,plural
hers,3,singular
his,3,singular
theirs,3,plural
my,1,singular
our,1,plural
your,2,singular
your,2,plural
her,3,singular
his,3,singular
their,3,plural
myself,1,singular
yourself,2,singular
herself,3,singular
himself,3,singular
itself,3,singular
ourselves,1,plural
yourselves,2,plural
themselves,2,plural
